Model,Gain_vs_Analytic,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_Incremental
Analytic,,14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698
3F,-53.66%,21.622262954711914,5.0749933587710304e-05,0.007123898763157033,0.003627892816439271,0.00011873884795932099,0.002111658453941345,-0.25479215606926364,170.8s
3F+iv_lag,-1.53%,14.287176132202148,3.353364268041016e-05,0.00579082400703131,0.0032552273478358984,-0.0004593210178427398,0.0020116865634918213,0.17088065293551902,123.3s,33.92%
4F,-54.61%,21.755823135375977,5.1063414665655785e-05,0.00714586696389289,0.0033850620966404676,-0.0008045155555009842,0.001919075846672058,-0.2625429760186593,130.6s,-52.28%
4F+iv_lag,4.70%,13.41014575958252,3.147515170478581e-05,0.005610271981355789,0.003375832922756672,-0.000855274498462677,0.0022003501653671265,0.22177684425936905,180.6s,38.36%
6F_gamma,-52.28%,21.42866325378418,5.0295532862621444e-05,0.007091934352672862,0.0032572776544839144,-0.0012182329082861543,0.0018823891878128052,-0.24355709771065004,197.2s,-59.79%
6F_gamma+iv_lag,62.11%,5.331666469573975,1.2514033328030359e-05,0.0035375179615134617,0.0019254903309047222,-0.0009547293302603066,0.0012267529964447021,0.6905905141006059,482.6s,75.12%
6F_theta,-69.94%,23.913972854614258,5.6128839831980044e-05,0.007491918301208312,0.0036059340927749872,-0.0007808274822309613,0.0020879507064819336,-0.38778561805826817,132.6s,-348.53%
6F_theta+iv_lag,-17.30%,16.505823135375977,3.874106191777112e-05,0.006224231833549513,0.003116003703325987,-0.00032943705446086824,0.0016788914799690247,0.042127207354910934,152.3s,30.98%
8F_theta,-18.86%,16.72517967224121,3.925591689392499e-05,0.006265454244819365,0.002642106031998992,-0.0002958204713650048,0.001361846923828125,0.029397417581401908,251.3s,-1.33%
8F_theta+iv_lag,47.98%,7.320459842681885,1.718195970633342e-05,0.0041451127495320825,0.002317463280633092,0.0010227623861283064,0.0013344287872314453,0.5751760299716672,195.9s,56.23%
8F_rho,-5.41%,14.83349895477295,3.48159250678268e-05,0.005900502103027064,0.002697150455787778,-1.2977849110029638e-05,0.001512289047241211,0.13917621969098337,381.7s,-102.63%
8F_rho+iv_lag,59.69%,5.672984600067139,1.331514616673232e-05,0.0036489924865272497,0.0019611383322626352,-0.001100572058930993,0.001001507043838501,0.6707829984042104,689.7s,61.76%
Total,,,,,,,,,3088.8s
