epoch,loss,val_loss
1,0.00017937476680563325,6.0947516322360705e-05
2,8.20061506306936e-05,5.513691490968366e-05
3,7.703003259406583e-05,5.482141245605897e-05
4,6.35554417954789e-05,4.639969410043636e-05
5,5.606520145756905e-05,4.5077658407833085e-05
6,4.8744179031277704e-05,4.18358040692024e-05
7,4.464530812385531e-05,4.2548394352100637e-05
8,4.1671130802874535e-05,4.114391609939231e-05
9,3.971285290055025e-05,3.957838594347697e-05
10,3.78257051663403e-05,4.2467024904222204e-05
11,3.607578719565326e-05,3.985436655080009e-05
12,3.472187049407577e-05,3.867237660844419e-05
13,3.326142946435899e-05,4.683558407969774e-05
14,3.218655539622079e-05,4.26543695213249e-05
15,3.1176367517914845e-05,4.390272470289964e-05
16,3.0139152739382696e-05,4.632648876892899e-05
17,2.9263281284425962e-05,4.697607392076375e-05
18,2.833765412314324e-05,4.3678089064116146e-05
19,2.5598845931905577e-05,4.3611003053206186e-05
20,2.5284958839071486e-05,4.3572258189944375e-05
21,2.479923585157935e-05,4.423648814558902e-05
22,2.4838040581169113e-05,4.281512256114086e-05
23,2.4513794501192084e-05,4.485614699775202e-05
24,2.4275316464509516e-05,4.9716960204720907e-05
