T_bin,ret_bin,gain%,n
0-3m,<-1%,81.1,3338
0-3m,-1% to 0%,84.09,16011
0-3m,0% to 1%,91.08,22324
0-3m,>1%,91.67,2425
0-3m,All,88.17,44098
3-6m,<-1%,84.49,3110
3-6m,-1% to 0%,81.19,17573
3-6m,0% to 1%,93.38,23332
3-6m,>1%,88.71,2961
3-6m,All,89.4,46976
6m-1yr,<-1%,86.86,3488
6m-1yr,-1% to 0%,84.73,17342
6m-1yr,0% to 1%,93.93,24075
6m-1yr,>1%,88.51,2694
6m-1yr,All,91.06,47599
>1yr,<-1%,95.29,3954
>1yr,-1% to 0%,84.46,19012
>1yr,0% to 1%,94.76,25866
>1yr,>1%,87.05,2921
>1yr,All,93.03,51753
All,<-1%,89.1,13890
All,-1% to 0%,83.86,69938
All,0% to 1%,93.4,95597
All,>1%,89.41,11001
All,All,90.64,190426
